LR999924.1 1 100000 0 
LR999924.1 100001 200000 2 16712
LR999924.1 200001 300000 2 17503
LR999924.1 300001 400000 5 9990
LR999924.1 400001 500000 4 31592
LR999924.1 500001 600000 2 10042
LR999924.1 600001 700000 0 
LR999924.1 700001 800000 5 31075
LR999924.1 800001 900000 2 8041
LR999924.1 900001 1000000 2 12792
LR999924.1 1000001 1100000 1 3369
LR999924.1 1100001 1200000 0 
LR999924.1 1200001 1300000 1 17895
LR999924.1 1300001 1400000 1 4710
LR999924.1 1400001 1500000 1 8014
LR999924.1 1500001 1600000 2 8514
LR999924.1 1600001 1700000 1 20183
LR999924.1 1700001 1800000 2 12659
LR999924.1 1800001 1900000 0 
LR999924.1 1900001 2000000 1 2843
LR999924.1 2000001 2100000 3 46391
LR999924.1 2100001 2200000 0 
LR999924.1 2200001 2300000 3 26644
LR999924.1 2300001 2400000 4 27331
LR999924.1 2400001 2500000 0 
LR999924.1 2500001 2600000 7 23013
LR999924.1 2600001 2700000 2 8645
LR999924.1 2700001 2800000 2 11919
LR999924.1 2800001 2900000 1 104
LR999924.1 2900001 3000000 0 
LR999924.1 3000001 3100000 0 
LR999924.1 3100001 3200000 1 203
LR999924.1 3200001 3300000 2 14879
LR999924.1 3300001 3400000 4 30817
LR999924.1 3400001 3500000 0 
LR999924.1 3500001 3600000 1 5582
LR999924.1 3600001 3700000 7 37313
LR999924.1 3700001 3800000 0 
LR999924.1 3800001 3900000 0 
LR999924.1 3900001 4000000 3 21032
LR999924.1 4000001 4100000 6 30581
LR999924.1 4100001 4200000 4 14380
LR999924.1 4200001 4300000 3 15343
LR999924.1 4300001 4400000 2 5533
LR999924.1 4400001 4500000 1 8231
LR999924.1 4500001 4600000 4 11665
LR999924.1 4600001 4700000 2 24545
LR999924.1 4700001 4800000 4 19896
LR999924.1 4800001 4900000 2 7286
LR999924.1 4900001 5000000 0 
LR999924.1 5000001 5100000 1 1577
LR999924.1 5100001 5200000 4 17603
LR999924.1 5200001 5300000 5 8158
LR999924.1 5300001 5400000 1 614
LR999924.1 5400001 5500000 1 15144
LR999924.1 5500001 5600000 5 26306
LR999924.1 5600001 5700000 1 1723
LR999924.1 5700001 5800000 1 878
LR999924.1 5800001 5900000 3 12974
LR999924.1 5900001 6000000 2 3726
LR999924.1 6000001 6100000 9 40555
LR999924.1 6100001 6200000 5 10552
LR999924.1 6200001 6300000 2 7537
LR999924.1 6300001 6400000 3 9695
LR999924.1 6400001 6500000 2 9517
LR999924.1 6500001 6600000 2 6340
LR999924.1 6600001 6700000 6 21759
LR999924.1 6700001 6800000 5 13262
LR999924.1 6800001 6900000 0 
LR999924.1 6900001 7000000 4 23872
LR999924.1 7000001 7100000 9 33743
LR999924.1 7100001 7200000 4 18813
LR999924.1 7200001 7300000 3 8009
LR999924.1 7300001 7400000 6 23272
LR999924.1 7400001 7500000 1 4057
LR999924.1 7500001 7600000 0 
LR999924.1 7600001 7700000 2 6855
LR999924.1 7700001 7800000 0 
LR999924.1 7800001 7900000 5 19454
LR999924.1 7900001 8000000 2 11364
LR999924.1 8000001 8100000 2 6034
LR999924.1 8100001 8200000 1 836
LR999924.1 8200001 8300000 10 21924
LR999924.1 8300001 8400000 6 42512
LR999924.1 8400001 8500000 9 47728
LR999924.1 8500001 8600000 4 25685
LR999924.1 8600001 8700000 4 17484
LR999924.1 8700001 8800000 3 7462
LR999924.1 8800001 8900000 2 14571
LR999924.1 8900001 9000000 2 607
LR999924.1 9000001 9100000 1 5359
LR999924.1 9100001 9200000 0 
LR999924.1 9200001 9300000 2 21684
LR999924.1 9300001 9400000 6 22712
LR999924.1 9400001 9500000 6 24944
LR999924.1 9500001 9600000 0 
LR999924.1 9600001 9700000 2 33028
LR999924.1 9700001 9800000 3 22413
LR999924.1 9800001 9900000 1 2947
LR999924.1 9900001 10000000 4 29424
LR999924.1 10000001 10100000 1 1874
LR999924.1 10100001 10200000 0 
LR999924.1 10200001 10300000 0 
LR999924.1 10300001 10400000 0 
LR999924.1 10400001 10500000 4 19500
LR999924.1 10500001 10600000 3 34314
LR999924.1 10600001 10700000 3 32454
LR999924.1 10700001 10800000 4 18992
LR999924.1 10800001 10900000 10 28047
