"" "GO.ID" "Term" "Annotated" "Significant" "Expected" "weight01Fisher" "classicFisher" "p_adj" "GO_class"
"1" "GO:0014718" "positive regulation of satellite cell ac..." 8 8 0.03 4.7e-21 "4.7e-21" 2.25803666666667e-17 "BP"
"2" "GO:1990091" "sodium-dependent self proteolysis" 8 8 0.03 4.7e-21 "4.7e-21" 2.25803666666667e-17 "BP"
"3" "GO:1990092" "calcium-dependent self proteolysis" 8 8 0.03 4.7e-21 "4.7e-21" 2.25803666666667e-17 "BP"
"4" "GO:0021919" "BMP signaling pathway involved in spinal..." 9 8 0.03 4.2e-20 "4.2e-20" 1.513365e-16 "BP"
"5" "GO:0021914" "negative regulation of smoothened signal..." 10 8 0.03 2.1e-19 "2.1e-19" 5.04455e-16 "BP"
"6" "GO:0070315" "G1 to G0 transition involved in cell dif..." 10 8 0.03 2.1e-19 "2.1e-19" 5.04455e-16 "BP"
"7" "GO:2001015" "negative regulation of skeletal muscle c..." 11 8 0.04 7.6e-19 "7.6e-19" 1.56484e-15 "BP"
"8" "GO:0048642" "negative regulation of skeletal muscle t..." 13 8 0.04 5.9e-18 "5.9e-18" 9.44852222222222e-15 "BP"
"9" "GO:0033234" "negative regulation of protein sumoylati..." 13 8 0.04 5.9e-18 "5.9e-18" 9.44852222222222e-15 "BP"
"10" "GO:0016540" "protein autoprocessing" 16 8 0.05 5.9e-17 "5.9e-17" 8.50367e-14 "BP"
"11" "GO:0070268" "cornification" 17 8 0.06 1.1e-16 "1.1e-16" 1.4413e-13 "BP"
"12" "GO:0060056" "mammary gland involution" 18 8 0.06 2e-16 "2.0e-16" 2.40216666666667e-13 "BP"
"13" "GO:0071472" "cellular response to salt stress" 20 8 0.07 5.7e-16 "5.7e-16" 6.31954615384615e-13 "BP"
"14" "GO:2000310" "regulation of NMDA receptor activity" 21 8 0.07 9.2e-16 "9.2e-16" 9.4714e-13 "BP"
"15" "GO:0014850" "response to muscle activity" 22 8 0.07 1.4e-15 "1.4e-15" 1.34521333333333e-12 "BP"
"16" "GO:1900449" "regulation of glutamate receptor signali..." 23 8 0.08 2.2e-15 "2.2e-15" 1.9817875e-12 "BP"
"17" "GO:0051281" "positive regulation of release of seques..." 24 8 0.08 3.3e-15 "3.3e-15" 2.79781764705882e-12 "BP"
"18" "GO:0090303" "positive regulation of wound healing" 30 8 0.1 2.6e-14 "2.6e-14" 2.08187777777778e-11 "BP"
"19" "GO:0032801" "receptor catabolic process" 33 8 0.11 6.1e-14 "6.1e-14" 4.395965e-11 "BP"
"20" "GO:0045661" "regulation of myoblast differentiation" 33 8 0.11 6.1e-14 "6.1e-14" 4.395965e-11 "BP"
"21" "GO:0008345" "larval locomotory behavior" 44 8 0.15 7.7e-13 "7.7e-13" 5.28476666666667e-10 "BP"
"22" "GO:0071277" "cellular response to calcium ion" 45 8 0.15 9.3e-13 "9.3e-13" 6.09276818181818e-10 "BP"
"23" "GO:0046716" "muscle cell cellular homeostasis" 49 8 0.16 1.9e-12 "1.9e-12" 1.19063913043478e-09 "BP"
