"GO.ID" "Term" "Annotated" "Significant" "Expected" "weight01Fisher" "classicFisher" "p_adj" "GO_class" "genes"
"1" "GO:0055103" "ligase regulator activity" 8 8 0.03 6.2e-21 "6.2e-21" 2.13776e-17 "MF" "Vcard_DToL17183-RA,Vcard_DToL17184-RA,Vcard_DToL17185-RA,Vcard_DToL17190-RA,Vcard_DToL17194-RA,Vcard_DToL17196-RA,Vcard_DToL17202-RA,Vcard_DToL17205-RA"
"2" "GO:0031432" "titin binding" 9 8 0.03 5.5e-20 "5.5e-20" 9.482e-17 "MF" "Vcard_DToL17183-RA,Vcard_DToL17184-RA,Vcard_DToL17185-RA,Vcard_DToL17190-RA,Vcard_DToL17194-RA,Vcard_DToL17196-RA,Vcard_DToL17202-RA,Vcard_DToL17205-RA"
"3" "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 16 8 0.06 7.8e-17 "7.8e-17" 8.9648e-14 "MF" "Vcard_DToL17183-RA,Vcard_DToL17184-RA,Vcard_DToL17185-RA,Vcard_DToL17190-RA,Vcard_DToL17194-RA,Vcard_DToL17196-RA,Vcard_DToL17202-RA,Vcard_DToL17205-RA"
"4" "GO:0031402" "sodium ion binding" 18 8 0.06 2.6e-16 "2.6e-16" 2.2412e-13 "MF" "Vcard_DToL17183-RA,Vcard_DToL17184-RA,Vcard_DToL17185-RA,Vcard_DToL17190-RA,Vcard_DToL17194-RA,Vcard_DToL17196-RA,Vcard_DToL17202-RA,Vcard_DToL17205-RA"
"5" "GO:0008307" "structural constituent of muscle" 50 8 0.17 3e-12 "3.0e-12" 2.0688e-09 "MF" "Vcard_DToL17183-RA,Vcard_DToL17184-RA,Vcard_DToL17185-RA,Vcard_DToL17190-RA,Vcard_DToL17194-RA,Vcard_DToL17196-RA,Vcard_DToL17202-RA,Vcard_DToL17205-RA"
"6" "GO:0004197" "cysteine-type endopeptidase activity" 65 15 0.23 8.2e-12 "1.2e-25" 4.71226666666667e-09 "MF" "Vcard_DToL02728-RA,Vcard_DToL02734-RA,Vcard_DToL02737-RA,Vcard_DToL02738-RA,Vcard_DToL02740-RA,Vcard_DToL02742-RA,Vcard_DToL02744-RA,Vcard_DToL17183-RA,Vcard_DToL17184-RA,Vcard_DToL17185-RA,Vcard_DToL17190-RA,Vcard_DToL17194-RA,Vcard_DToL17196-RA,Vcard_DToL17202-RA,Vcard_DToL17205-RA"
"7" "GO:1990782" "protein tyrosine kinase binding" 69 8 0.24 4.5e-11 "4.5e-11" 2.21657142857143e-08 "MF" "Vcard_DToL17183-RA,Vcard_DToL17184-RA,Vcard_DToL17185-RA,Vcard_DToL17190-RA,Vcard_DToL17194-RA,Vcard_DToL17196-RA,Vcard_DToL17202-RA,Vcard_DToL17205-RA"
"8" "GO:0005509" "calcium ion binding" 190 10 0.66 3.1e-10 "3.1e-10" 1.3361e-07 "MF" "Vcard_DToL16758-RA,Vcard_DToL16764-RA,Vcard_DToL17183-RA,Vcard_DToL17184-RA,Vcard_DToL17185-RA,Vcard_DToL17190-RA,Vcard_DToL17194-RA,Vcard_DToL17196-RA,Vcard_DToL17202-RA,Vcard_DToL17205-RA"
"9" "GO:0046982" "protein heterodimerization activity" 332 9 1.16 9.1e-07 "9.1e-07" 0.000348631111111111 "MF" "Vcard_DToL15663-RA,Vcard_DToL17183-RA,Vcard_DToL17184-RA,Vcard_DToL17185-RA,Vcard_DToL17190-RA,Vcard_DToL17194-RA,Vcard_DToL17196-RA,Vcard_DToL17202-RA,Vcard_DToL17205-RA"
"10" "GO:0030226" "apolipoprotein receptor activity" 2 2 0.01 1.2e-05 "1.2e-05" 0.00376145454545455 "MF" "Vcard_DToL16758-RA,Vcard_DToL16764-RA"
